Tempat,RSSI (dBm),Download,Upload,Maksimal Resolution,Load Time (ms),Buffer (%),latitude,longitude,Gedung
Dalam R Rapat Upatik GSG,-47,15.4,13.4,2160,1224,0,-6.3705339,106.8235482,GSG
Depan R Rapat Upatik 1M GSG,-55,55.1,65,480,4086,0,-6.3705339,106.8235482,GSG
Depan R Rapat Upatik 3M GSG,-64,41.3,60.2,480,1868,32,-6.3705339,106.8235482,GSG
Depan R Rapat Upatik 5M GSG,-61,44.4,56.8,480,1212,35,-6.3705339,106.8235482,GSG
Depan Loket Upatik 1M GSG,-47,41.8,52,480,845,33,-6.3705339,106.8235482,GSG
Depan Loket Upatik 3M GSG,-52,44.5,52.4,1440,885,20,-6.3705339,106.8235482,GSG
Depan Loket Upatik 5M GSG,-69,10.4,35.3,2160,424,0,-6.3705339,106.8235482,GSG
Depan R Ikapunija,-46,39.9,36.2,1440,443,0,-6.3705339,106.8235482,GSG
Dalam Aula GSG,-54,46.4,62.5,2160,451,0,-6.3705339,106.8235482,GSG
Depan Mushollah 1M GSG,-55,54.5,60.7,480,551,0,-6.3705339,106.8235482,GSG
Depan Mushollah 3M GSG,-48,65.1,62.5,480,601,0,-6.3705339,106.8235482,GSG
Dalam R 211 GSG,-48,14.3,9.9,480,1013,0,-6.3705339,106.8235482,GSG
Dalam R 212 GSG,-63,8.7,1.7,480,3152,0,-6.3705339,106.8235482,GSG
Depan R 208 GSG,-72,29.8,35.1,480,770,20,-6.3705339,106.8235482,GSG
Depan R Lab 1M GSG,-70,6.6,1,480,674,36,-6.3705339,106.8235482,GSG
Depan R Lab 3M GSG,-85,5.1,11.2,480,626,0,-6.3705339,106.8235482,GSG
Depan R Lab 5M GSG,-62,3.7,2.8,480,1392,30,-6.3705339,106.8235482,GSG
Depan Admin JTIK Gd AA,-78,12.1,36.5,2160,661,0,-6.3724893,106.8238117,AA
Depan R Server Gd AA,-47,53.4,58.4,2160,554,0,-6.3724893,106.8238117,AA
Dalam R 303 Gd AA,-66,41.9,42.3,2160,492,0,-6.3724893,106.8238117,AA
Depan R 304 Gd AA,-69,38.5,40.6,2160,504,0,-6.3724893,106.8238117,AA
Depan R 305 Gd AA,-52,51.5,63.2,2160,509,0,-6.3724893,106.8238117,AA
Dalam R 304 Gd AA,-60,40,57.2,2160,409,0,-6.3724893,106.8238117,AA
Depan R 205 Gd AA,-68,52.2,45.7,2160,468,0,-6.3724893,106.8238117,AA
Dalam R 204 Gd AA,-45,54.7,66.6,2160,407,0,-6.3724893,106.8238117,AA
Dalam R 205 Gd AA,-66,41.3,52.4,2160,427,0,-6.3724893,106.8238117,AA
Depan R 201 Gd AA,-58,46.3,56.7,2160,530,0,-6.3724893,106.8238117,AA
Dalam R 201 Gd AA,-50,52.4,65.1,480,2491,26,-6.3724893,106.8238117,AA
Dalam R 302 Gd AA,-48,52.2,59,480,686,0,-6.3724893,106.8238117,AA
Dalam R 305 Gd AA,-42,49.6,58.8,2160,378,0,-6.3724893,106.8238117,AA
Dalam R Server Gd AA,-51,48.8,58,2160,329,0,-6.3724893,106.8238117,AA
Depan Layanan Mahasiswa Gd A,-62,28.2,19.3,480,1314,0,-6.3714562,106.8228791,A
Depan R 105 Gd A,-68,22.5,36.1,480,630,33,-6.3714562,106.8228791,A
Depan R 109 Gd A,-57,10.4,3.8,480,698,35,-6.3714562,106.8228791,A
Depan Pintu Masuk Gd A,-64,53.5,66.2,480,601,33,-6.3714562,106.8228791,A
Depan R 209 Gd A,-71,10,10.7,480,703,33,-6.3714562,106.8228791,A
Dalam R 210 Gd A,-62,8.1,4.3,480,987,0,-6.3714562,106.8228791,A
Depan R Dosen Gd A,-54,3.1,3.2,480,660,34,-6.3714562,106.8228791,A
Depan R 212 Gd A,-54,18.3,12.7,480,735,33,-6.3714562,106.8228791,A
Depan R 207 Gd A,-58,51.8,69.7,480,691,32,-6.3714562,106.8228791,A
Depan R 106 Gd B,-61,29.4,7.5,480,765,0,-6.3717179,106.8234553,B
Depan R 109 Gd B,-70,33.8,40.2,480,653,34,-6.3717179,106.8234553,B
Depan R 110 Gd B,-59,39.3,53.3,480,676,0,-6.3717179,106.8234553,B
Depan R 116 Gd B,-63,49.2,41.8,480,696,34,-6.3717179,106.8234553,B
Pendopo Gd B,-64,5.9,6,480,598,33,-6.3717179,106.8234553,B
Depang Gudang ECWS Gd C,-74,25.3,31.4,480,609,24,-6.3720697,106.8234907,C
Tengah Lab Gd C,-60,57.4,53.9,480,504,33,-6.3720697,106.8234907,C
Depan R Dosen Gd C,-68,36.9,29.3,480,506,34,-6.3720697,106.8234907,C
Depan R 104 Gd I,-54,54.5,67.2,2160,472,0,-6.372417,106.8233591,I
Tengah Lab Gd I,-65,42.6,43.7,2160,536,0,-6.372417,106.8233591,I
Depan Lab Gd I,-54,40.4,63.2,2160,379,0,-6.372417,106.8233591,I
Depan R 111 Gd F,-71,36.8,50.3,480,733,33,-6.3710915,106.823465,F
Depan R 109 Gd F,-50,54.3,65.4,480,663,33,-6.3710915,106.823465,F
Depan R 106 Gd F,-37,57.3,69.6,480,683,32,-6.3710915,106.823465,F
Depan R Dosen Gd F,-57,16.2,17,2160,802,0,-6.3710915,106.823465,F
Depan R 206 Gd F,-56,7.2,0.6,1080,561,21,-6.3710915,106.823465,F
Depan R 210 Gd F,-50,10,3.8,2160,2943,0,-6.3710915,106.823465,F
Depan R 313 Gd F,-57,58.4,71.1,2160,479,0,-6.3710915,106.823465,F
Depan Lab Komputer Gd F,-36,56.5,49.1,2160,401,0,-6.3710915,106.823465,F
Depan R 301 Gd F,-70,47.1,52.3,2160,413,0,-6.3710915,106.823465,F
